id,name,address,latitude,longitude,is_active,fuel_types,poi_types,food_types
5839,Gulf + • Patardzeuli,"Sagarejo, Patardzeuli",41.72812,45.257603,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,"Coffee, Hot Dog"
5885,Nutsubidze,"Tbilisi, Besarion Zhgenti Street, #10",41.7275919771173,44.7241907499556,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5884,Melanji,"Tbilisi, beginning of V. Bagrationi Street",41.7262319941801,44.7840985462724,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5827,Gulf + • Kavtaradze,"Kavtaradze, Petre Kavtaradze Str. #7",41.7225880334046,44.7377107259195,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5749,"Sagaredzho Satave, Kakheti Highway 16 km.","Sagaredzho Satave, Kakheti Highway 16 km.",41.722299,45.34877,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium","Gas Station, Shop",Coffee
5750,"Pointer, Tamarashvili Str. Near Ipodrom","Pointer, Tamarashvili Str. Near Ipodrom",41.721646,44.746185,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Gas Station,
5751,Pointer,"Tbilisi, Mikheil Tamarashvili street #13p",41.7216219885716,44.7463192663901,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Gas Station,
5881,Ipodrom,"Tbilisi, Mikheil Tamarashvili Street, #6b",41.7210499999992,44.7459292459172,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5860,Chakvi,"Chakvi, Tamar Mefe Str. #74a",41.7130580094418,41.7329078114212,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5754,Laguna vere,Laguna vere,41.712211673842,44.786075082056,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Gas Station,
5917,Sartichala,"Gardabani, village Sartichala",41.711308007287,45.15186,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5757,"Sanapiro, The Right Side of Mtkvari, Near The Former Auto Station","Sanapiro, The Right Side of Mtkvari, Near The Former Auto Station",41.709296318156,44.789629008999,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super","Gas Station, Shop",Coffee
5888,Sanapiro,"Tbilisi, Zviad Gamsakhurdia embankment, #104",41.7092345940436,44.7895454685868,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5759,Abashidze Str. 22. 577004949 / 577216216,Abashidze Str. 22. 577004949 / 577216216,41.707281922361,44.769845035303,1,,Service Center,
5878,Varketili,"Tbilisi, between Varketili-3 and Vazisubani settlements",41.7000580147568,44.8705492655305,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog"
5836,Gulf + • Gombori,"Gardabani, Martkobi Village",41.6951119899276,45.0922485752366,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5883,Lilo,"On the Kakheti highway, near Saknavtobi",41.6920360350494,44.9850085263232,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5835,Gulf + • Bakurtsikhe,"Gurjaani, Bakurtsikhe",41.6900500931407,45.8566299999998,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5765,Gulf + • Bio,"Tbilisi, Kakheti Highway",41.6882380531635,44.8500999999995,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium","CNG Station, Gas Station, Shop","Coffee, Hot Dog, Sandwich"
5820,Gulf + • Bio,"Tbilisi, Kakheti Highway",41.6882380531635,44.8500999999995,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5766,Gulf + • BIO,"Gulf + • BIO • 
Tbilisi, Kakheti Highway, 
(Self Service)",41.688170056498,44.85002162718,1,"Euro Diesel, Euro Regular, G-Force Premium","CNG Station, Gas Station, Shop",Coffee
5828,Gulf + • Orkhevi,"Tbilisi, Orkhevi",41.6880862795365,44.9201592652709,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5887,Piki,Kakheti Highway,41.6877959964671,44.8462307102964,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5770,Gulf + • Cosmonavt,"Tbilisi, on the Kakheti highway, near the Cosmonaut Monument in the direction of the airport",41.687088017011,44.8958699999999,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium","CNG Station, Gas Station, Shop","Coffee, Hot Dog, Sandwich"
5808,Gulf + • Cosmonavt,"Tbilisi, on the Kakheti highway, near the Cosmonaut Monument in the direction of the airport",41.687088017011,44.8958699999999,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5882,Cosmonavt,"Tbilisi, on the Kakheti highway, near the Cosmonaut Monument in the direction of the airport",41.687088017011,44.8958699999999,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super","Service Center, Shop","Coffee, Hot Dog, Sandwich"
5772,Gulf + • Varketili javakheti,"Tbilisi, Javakheti Str. #14",41.6849641649885,44.8698385203876,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium","CNG Station, Gas Station, Shop",Coffee
